# M_red = 0.333
# r   H0R/R  dR/R  d2R/R tot.
1.131371e+01   -2.524562e-03 1.882514e-03   -1.271315e-03 6.241164e-04   -1.352072e-03 4.870130e-04 -5.147949e-03 1.745410e-03
1.204159e+01   -3.221216e-04 5.796088e-04   -1.045093e-03 6.893467e-04   -7.679226e-04 4.640432e-04 -2.135137e-03 3.543053e-04
1.280625e+01   1.329583e-03 2.455027e-03   -1.105135e-03 6.337149e-04   -2.371682e-04 9.004049e-04 -1.272002e-05 2.721717e-03
1.360147e+01   -5.912967e-04 1.884327e-03   -1.369112e-03 9.149606e-04   -3.654480e-04 1.036229e-03 -2.325857e-03 2.005596e-03
1.442221e+01   -5.158309e-04 1.651305e-04   -1.807762e-03 1.127015e-03   -3.109487e-04 7.705865e-04 -2.634541e-03 5.215592e-04
1.526434e+01   -1.003658e-04 1.371898e-03   -2.019455e-03 9.899952e-04   -3.422561e-04 8.509241e-04 -2.462077e-03 1.232827e-03
1.612452e+01   -1.007778e-03 7.334026e-04   -2.241084e-03 1.208822e-03   -2.579071e-04 8.461399e-04 -3.506769e-03 3.707201e-04
1.700000e+01   4.267559e-04 1.042345e-03   -1.934883e-03 1.411730e-03   1.562767e-04 6.040085e-04 -1.351850e-03 1.850067e-03
1.788854e+01   -2.867694e-04 8.799257e-04   -1.519304e-03 1.319456e-03   2.014373e-04 7.852749e-04 -1.604636e-03 1.414107e-03
1.878829e+01   1.725747e-03 1.308950e-04   -1.050794e-03 5.905536e-04   2.261454e-04 7.282328e-04 9.010985e-04 2.685741e-04
1.969772e+01   6.338798e-04 1.325347e-03   -8.890808e-04 6.333004e-04   2.499529e-04 1.644581e-04 -5.248114e-06 2.123106e-03
2.061553e+01   2.466218e-04 1.431739e-04   -8.826736e-04 1.514458e-03   2.667665e-04 3.923435e-04 -3.692853e-04 9.789408e-04
